Assembly	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet
# misassemblies	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	1
    # relocations	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	1
    # translocations	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0
    # inversions	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0
# misassembled contigs	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	1
Misassembled contigs length	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	6055
# local misassemblies	-	2	-	0	-	3	-	1	-	0	-	1	-	2	-	2
# mismatches	-	15	-	2	-	9	-	11	-	2	-	5	-	19	-	19
# indels	-	11	-	5	-	5	-	59	-	6	-	6	-	11	-	4
    # short indels (<= 5 bp)	-	7	-	5	-	5	-	59	-	5	-	5	-	7	-	4
    # long indels (> 5 bp)	-	4	-	0	-	0	-	0	-	1	-	1	-	4	-	0
Indels length	-	89	-	5	-	5	-	59	-	50	-	50	-	104	-	4
