Assembly	BC-M-Abyss	BC-M-Cabog	BC-M-Mira	BC-M-Msrca	BC-M-Sga	BC-M-Soap	BC-M-Spades	BC-M-Velvet
# misassemblies	1	3	7	8	1	0	4	2
    # relocations	1	3	7	8	1	0	4	2
    # translocations	0	0	0	0	0	0	0	0
    # inversions	0	0	0	0	0	0	0	0
# misassembled contigs	1	3	6	8	1	0	3	2
Misassembled contigs length	29730	316206	467784	274719	508	0	1999	66858
# local misassemblies	23	6	11	11	1	20	12	9
# mismatches	339	255	253	484	42	473	673	313
# indels	417	124	114	188	103	153	151	162
    # short indels (<= 5 bp)	330	120	110	184	97	145	137	155
    # long indels (> 5 bp)	87	4	4	4	6	8	14	7
Indels length	2711	251	230	329	256	377	525	414
